slot_id,service_date,split,slot_in_day,type_id,observed_count,mean_value
2016-11-01-01,2016-11-01,train,1,4,1.0,0.1465576005453306
2016-11-01-01,2016-11-01,train,1,5,1.0,0.1847307430129516
2016-11-01-01,2016-11-01,train,1,6,6.0,0.238809361508748
2016-11-01-01,2016-11-01,train,1,7,7.0,0.3463823157074691
2016-11-01-01,2016-11-01,train,1,8,3.0,0.3526471256532606
2016-11-01-01,2016-11-01,train,1,9,6.0,0.24039990911156559
2016-11-01-01,2016-11-01,train,1,10,3.0,0.2249488752556237
2016-11-01-01,2016-11-01,train,1,11,9.0,0.2229796258426115
2016-11-01-01,2016-11-01,train,1,12,3.0,0.2063167461940468
2016-11-01-01,2016-11-01,train,1,13,6.0,0.250852079072938
2016-11-01-01,2016-11-01,train,1,14,23.0,0.3295100915799769
2016-11-01-01,2016-11-01,train,1,15,9.0,0.2932666818147391
2016-11-01-01,2016-11-01,train,1,16,21.0,0.3060343428441588
2016-11-01-01,2016-11-01,train,1,17,4.0,0.2961826857532379
2016-11-01-01,2016-11-01,train,1,18,4.0,0.21676891615541924
2016-11-01-01,2016-11-01,train,1,19,16.0,0.37274199045671436
2016-11-01-01,2016-11-01,train,1,20,12.0,0.29913655987275617
2016-11-01-01,2016-11-01,train,1,21,0.0,0.0
2016-11-01-01,2016-11-01,train,1,22,3.0,0.19450124971597363
2016-11-01-01,2016-11-01,train,1,23,25.0,0.4312474437627812
2016-11-01-01,2016-11-01,train,1,24,5.0,0.33865030674846625
2016-11-01-01,2016-11-01,train,1,25,22.0,0.35449587903575636
2016-11-01-01,2016-11-01,train,1,26,10.0,0.4701431492842536
2016-11-01-01,2016-11-01,train,1,27,33.0,0.3832186899671562
2016-11-01-01,2016-11-01,train,1,28,18.0,0.4609937135499508
2016-11-01-01,2016-11-01,train,1,29,29.0,0.44599581599793153
2016-11-01-02,2016-11-01,train,2,0,4.0,0.2389229720518064
2016-11-01-02,2016-11-01,train,2,1,3.0,0.5410134060440809
2016-11-01-02,2016-11-01,train,2,2,3.0,0.3971824585321518
2016-11-01-02,2016-11-01,train,2,3,1.0,0.12133605998636673
2016-11-01-02,2016-11-01,train,2,4,7.0,0.2802609796474827
2016-11-01-02,2016-11-01,train,2,5,0.0,0.0
2016-11-01-02,2016-11-01,train,2,6,7.0,0.17294770669003798
2016-11-01-02,2016-11-01,train,2,7,8.0,0.4253578732106339
2016-11-01-02,2016-11-01,train,2,8,4.0,0.2363667348329925
2016-11-01-02,2016-11-01,train,2,9,2.0,0.16496250852079075
2016-11-01-02,2016-11-01,train,2,10,3.0,0.31265621449670533
2016-11-01-02,2016-11-01,train,2,11,10.0,0.3032038173142467
2016-11-01-02,2016-11-01,train,2,12,4.0,0.2636332651670075
2016-11-01-02,2016-11-01,train,2,13,6.0,0.2561917745966826
2016-11-01-02,2016-11-01,train,2,14,22.0,0.3550226188262998
2016-11-01-02,2016-11-01,train,2,15,11.0,0.36518559831443265
2016-11-01-02,2016-11-01,train,2,16,15.0,0.26407634628493526
2016-11-01-02,2016-11-01,train,2,17,2.0,0.1901840490797546
2016-11-01-02,2016-11-01,train,2,18,5.0,0.28629856850715746
2016-11-01-02,2016-11-01,train,2,19,21.0,0.43587496348232546
2016-11-01-02,2016-11-01,train,2,20,7.0,0.3514460999123576
2016-11-01-02,2016-11-01,train,2,21,3.0,0.1549647807316519
2016-11-01-02,2016-11-01,train,2,22,7.0,0.2997370727432077
2016-11-01-02,2016-11-01,train,2,23,16.0,0.39327709611451944
2016-11-01-02,2016-11-01,train,2,24,2.0,0.4468302658486708
2016-11-01-02,2016-11-01,train,2,25,28.0,0.4761661310741065
2016-11-01-02,2016-11-01,train,2,26,5.0,0.45998636673483295
2016-11-01-02,2016-11-01,train,2,27,30.0,0.4394910247670984
2016-11-01-02,2016-11-01,train,2,28,34.0,0.4107021131561009
2016-11-01-02,2016-11-01,train,2,29,30.0,0.44455805498750284
2016-11-01-03,2016-11-01,train,3,0,1.0,0.12201772324471712
2016-11-01-03,2016-11-01,train,3,1,2.0,0.5640763462849352
2016-11-01-03,2016-11-01,train,3,2,1.0,0.24471710974778457
2016-11-01-03,2016-11-01,train,3,3,2.0,0.3711656441717791
2016-11-01-03,2016-11-01,train,3,4,4.0,0.18830947511929108
2016-11-01-03,2016-11-01,train,3,5,3.0,0.13360599863667347
2016-11-01-03,2016-11-01,train,3,6,5.0,0.2234492160872529
2016-11-01-03,2016-11-01,train,3,7,11.0,0.3239139864906736
2016-11-01-03,2016-11-01,train,3,8,5.0,0.20845262440354465
2016-11-01-03,2016-11-01,train,3,9,4.0,0.305385139740968
2016-11-01-03,2016-11-01,train,3,10,7.0,0.26273249586133024
2016-11-01-03,2016-11-01,train,3,11,9.0,0.2739528894948118
2016-11-01-03,2016-11-01,train,3,12,5.0,0.3089297886843899
2016-11-01-03,2016-11-01,train,3,13,11.0,0.26355580343310403
2016-11-01-03,2016-11-01,train,3,14,10.0,0.34008179959100204
2016-11-01-03,2016-11-01,train,3,15,2.0,0.24096796182685754
2016-11-01-03,2016-11-01,train,3,16,17.0,0.2870203296042343
2016-11-01-03,2016-11-01,train,3,17,6.0,0.17745966825721426
2016-11-01-03,2016-11-01,train,3,18,5.0,0.25957736877982274
2016-11-01-03,2016-11-01,train,3,19,27.0,0.36660859905577015
2016-11-01-03,2016-11-01,train,3,20,6.0,0.23233356055441945
2016-11-01-03,2016-11-01,train,3,21,5.0,0.37927743694614857
2016-11-01-03,2016-11-01,train,3,22,6.0,0.31845035219268353
2016-11-01-03,2016-11-01,train,3,23,21.0,0.39422858441263353
2016-11-01-03,2016-11-01,train,3,24,4.0,0.25869120654396727
2016-11-01-03,2016-11-01,train,3,25,28.0,0.4348037783620606
2016-11-01-03,2016-11-01,train,3,26,13.0,0.35761103245765824
2016-11-01-03,2016-11-01,train,3,27,26.0,0.3500078653452886
2016-11-01-03,2016-11-01,train,3,28,34.0,0.45456914872288384
2016-11-01-03,2016-11-01,train,3,29,20.0,0.4421949556918882
2016-11-01-04,2016-11-01,train,4,0,1.0,0.25835037491479207
2016-11-01-04,2016-11-01,train,4,1,0.0,0.0
2016-11-01-04,2016-11-01,train,4,2,3.0,0.20631674619404683
2016-11-01-04,2016-11-01,train,4,3,1.0,0.12133605998636673
2016-11-01-04,2016-11-01,train,4,4,1.0,0.25835037491479207
2016-11-01-04,2016-11-01,train,4,5,5.0,0.37682344921608724
2016-11-01-04,2016-11-01,train,4,6,5.0,0.21254260395364688
2016-11-01-04,2016-11-01,train,4,7,10.0,0.36537150647580097
2016-11-01-04,2016-11-01,train,4,8,4.0,0.26567825494205866
2016-11-01-04,2016-11-01,train,4,9,3.0,0.31356509884117245
2016-11-01-04,2016-11-01,train,4,10,4.0,0.16666666666666669
2016-11-01-04,2016-11-01,train,4,11,14.0,0.22217353198948292
2016-11-01-04,2016-11-01,train,4,12,3.0,0.17518745739604635
2016-11-01-04,2016-11-01,train,4,13,10.0,0.2685753237900477
2016-11-01-04,2016-11-01,train,4,14,15.0,0.3587366507611906
2016-11-01-04,2016-11-01,train,4,15,1.0,0.20245398773006137
2016-11-01-04,2016-11-01,train,4,16,21.0,0.29321258155613983
2016-11-01-04,2016-11-01,train,4,17,5.0,0.21704158145875935
2016-11-01-04,2016-11-01,train,4,18,5.0,0.37682344921608724
2016-11-01-04,2016-11-01,train,4,19,34.0,0.45106058783431574
2016-11-01-04,2016-11-01,train,4,20,8.0,0.29030334014996595
2016-11-01-04,2016-11-01,train,4,21,3.0,0.2685753237900477
2016-11-01-04,2016-11-01,train,4,22,3.0,0.2351738241308793
2016-11-01-04,2016-11-01,train,4,23,19.0,0.4235640225307646
2016-11-01-04,2016-11-01,train,4,24,4.0,0.35787321063394684
2016-11-01-04,2016-11-01,train,4,25,24.0,0.46472392638036814
2016-11-01-04,2016-11-01,train,4,26,9.0,0.3618117094599712
2016-11-01-04,2016-11-01,train,4,27,30.0,0.346739377414224
2016-11-01-04,2016-11-01,train,4,28,32.0,0.3811562713019768
2016-11-01-04,2016-11-01,train,4,29,23.0,0.4252393230787469
2016-11-01-05,2016-11-01,train,5,0,2.0,0.21506475800954328
2016-11-01-05,2016-11-01,train,5,1,1.0,0.2937968643490116
2016-11-01-05,2016-11-01,train,5,2,4.0,0.3957055214723927
2016-11-01-05,2016-11-01,train,5,3,2.0,0.5790729379686435
2016-11-01-05,2016-11-01,train,5,4,6.0,0.2173369688707112
2016-11-01-05,2016-11-01,train,5,5,3.0,0.19904567143830945
2016-11-01-05,2016-11-01,train,5,6,7.0,0.254747297692083
2016-11-01-05,2016-11-01,train,5,7,13.0,0.32808976980756116
2016-11-01-05,2016-11-01,train,5,8,4.0,0.21881390593047034
2016-11-01-05,2016-11-01,train,5,9,1.0,0.38241308793456036
2016-11-01-05,2016-11-01,train,5,10,4.0,0.2994205862304022
2016-11-01-05,2016-11-01,train,5,11,6.0,0.24914792092706203
2016-11-01-05,2016-11-01,train,5,12,5.0,0.25303340149965914
2016-11-01-05,2016-11-01,train,5,13,8.0,0.2388377641445126
2016-11-01-05,2016-11-01,train,5,14,18.0,0.3499962129818981
2016-11-01-05,2016-11-01,train,5,15,8.0,0.3122869802317655
2016-11-01-05,2016-11-01,train,5,16,12.0,0.3667916382640309
2016-11-01-05,2016-11-01,train,5,17,2.0,0.5388548057259714
2016-11-01-05,2016-11-01,train,5,18,2.0,0.3111792774369462
2016-11-01-05,2016-11-01,train,5,19,27.0,0.4462117195586861
2016-11-01-05,2016-11-01,train,5,20,12.0,0.2832310838445808
2016-11-01-05,2016-11-01,train,5,21,3.0,0.6896159963644627
2016-11-01-05,2016-11-01,train,5,22,3.0,0.2524426266757555
2016-11-01-05,2016-11-01,train,5,23,14.0,0.3785178693154153
2016-11-01-05,2016-11-01,train,5,24,7.0,0.2619534521375012
2016-11-01-05,2016-11-01,train,5,25,17.0,0.40137936565219134
2016-11-01-05,2016-11-01,train,5,26,14.0,0.3547570357386309
2016-11-01-05,2016-11-01,train,5,27,29.0,0.38577439296711563
2016-11-01-05,2016-11-01,train,5,28,50.0,0.3778868438991138
2016-11-01-05,2016-11-01,train,5,29,16.0,0.42203476482617586
2016-11-01-06,2016-11-01,train,6,0,6.0,0.1877982276755283
2016-11-01-06,2016-11-01,train,6,1,4.0,0.4335378323108385
2016-11-01-06,2016-11-01,train,6,2,6.0,0.1870029538741195
2016-11-01-06,2016-11-01,train,6,3,1.0,0.14587593728698023
2016-11-01-06,2016-11-01,train,6,4,5.0,0.23162917518745738
2016-11-01-06,2016-11-01,train,6,5,5.0,0.24608043626448534
2016-11-01-06,2016-11-01,train,6,6,8.0,0.2119972733469666
2016-11-01-06,2016-11-01,train,6,7,6.0,0.36378095887298345
2016-11-01-06,2016-11-01,train,6,8,3.0,0.2626675755510111
2016-11-01-06,2016-11-01,train,6,9,1.0,0.6509884117246081
2016-11-01-06,2016-11-01,train,6,10,2.0,0.267211997273347
2016-11-01-06,2016-11-01,train,6,11,7.0,0.2863959489726361
2016-11-01-06,2016-11-01,train,6,12,1.0,0.33128834355828224
2016-11-01-06,2016-11-01,train,6,13,9.0,0.21457244565629022
2016-11-01-06,2016-11-01,train,6,14,22.0,0.32512238953956746
2016-11-01-06,2016-11-01,train,6,15,9.0,0.2447171097477846
2016-11-01-06,2016-11-01,train,6,16,23.0,0.30938620669215494
2016-11-01-06,2016-11-01,train,6,17,1.0,0.125426039536469
2016-11-01-06,2016-11-01,train,6,18,3.0,0.2149511474664849
2016-11-01-06,2016-11-01,train,6,19,19.0,0.36971262512108494
2016-11-01-06,2016-11-01,train,6,20,9.0,0.25744149057032495
2016-11-01-06,2016-11-01,train,6,21,6.0,0.2577823221995001
2016-11-01-06,2016-11-01,train,6,22,3.0,0.3256078164053624
2016-11-01-06,2016-11-01,train,6,23,28.0,0.4217547959879248
2016-11-01-06,2016-11-01,train,6,24,2.0,0.34696659850034084
2016-11-01-06,2016-11-01,train,6,25,24.0,0.5145421495114747
2016-11-01-06,2016-11-01,train,6,26,13.0,0.29846363588694874
2016-11-01-06,2016-11-01,train,6,27,18.0,0.3078845716882527
2016-11-01-06,2016-11-01,train,6,28,43.0,0.39060889966867995
2016-11-01-06,2016-11-01,train,6,29,13.0,0.5817733731844161
2016-11-01-07,2016-11-01,train,7,0,16.0,0.27871506475800956
2016-11-01-07,2016-11-01,train,7,1,7.0,0.3804654786249878
2016-11-01-07,2016-11-01,train,7,2,6.0,0.20336287207452852
2016-11-01-07,2016-11-01,train,7,3,4.0,0.14843217450579413
2016-11-01-07,2016-11-01,train,7,4,4.0,0.19308111792774368
2016-11-01-07,2016-11-01,train,7,5,10.0,0.1978186775732788
2016-11-01-07,2016-11-01,train,7,6,7.0,0.2162820138280261
2016-11-01-07,2016-11-01,train,7,7,6.0,0.22972051806407634
2016-11-01-07,2016-11-01,train,7,8,1.0,0.12065439672801637
2016-11-01-07,2016-11-01,train,7,9,3.0,0.14087707339241082
2016-11-01-07,2016-11-01,train,7,10,4.0,0.21336059986366734
2016-11-01-07,2016-11-01,train,7,11,4.0,0.244546693933197
2016-11-01-07,2016-11-01,train,7,12,4.0,0.2581799591002045
2016-11-01-07,2016-11-01,train,7,13,5.0,0.17314246762099522
2016-11-01-07,2016-11-01,train,7,14,13.0,0.22279901421005716
2016-11-01-07,2016-11-01,train,7,15,3.0,0.3785503294705748
2016-11-01-07,2016-11-01,train,7,16,17.0,0.47343518184369865
2016-11-01-07,2016-11-01,train,7,17,5.0,0.2624403544648944
2016-11-01-07,2016-11-01,train,7,18,5.0,0.18104976141785958
2016-11-01-07,2016-11-01,train,7,19,24.0,0.455663485571461
2016-11-01-07,2016-11-01,train,7,20,5.0,0.37259713701431496
2016-11-01-07,2016-11-01,train,7,21,2.0,0.25937286980231766
2016-11-01-07,2016-11-01,train,7,22,1.0,0.2937968643490116
2016-11-01-07,2016-11-01,train,7,23,12.0,0.3920131788229948
2016-11-01-07,2016-11-01,train,7,24,4.0,0.20978186775732788
2016-11-01-07,2016-11-01,train,7,25,25.0,0.359972733469666
2016-11-01-07,2016-11-01,train,7,26,15.0,0.43821858668484437
2016-11-01-07,2016-11-01,train,7,27,19.0,0.3437735442901733
2016-11-01-07,2016-11-01,train,7,28,42.0,0.49974031875872366
2016-11-01-07,2016-11-01,train,7,29,27.0,0.4161932894039233
2016-11-01-08,2016-11-01,train,8,0,48.0,0.21223869575096568
2016-11-01-08,2016-11-01,train,8,1,45.0,0.21635991820040903
2016-11-01-08,2016-11-01,train,8,2,5.0,0.20354464894342197
2016-11-01-08,2016-11-01,train,8,3,6.0,0.28686662122244944
2016-11-01-08,2016-11-01,train,8,4,1.0,0.1547375596455351
2016-11-01-08,2016-11-01,train,8,5,14.0,0.19826662771448048
2016-11-01-08,2016-11-01,train,8,6,4.0,0.31339468302658485
2016-11-01-08,2016-11-01,train,8,7,4.0,0.39672801635991817
2016-11-01-08,2016-11-01,train,8,8,3.0,0.16473528743467394
2016-11-01-08,2016-11-01,train,8,9,2.0,0.1441717791411043
2016-11-01-08,2016-11-01,train,8,10,2.0,0.17518745739604635
2016-11-01-08,2016-11-01,train,8,11,5.0,0.19263803680981595
2016-11-01-08,2016-11-01,train,8,12,3.0,0.2199500113610543
2016-11-01-08,2016-11-01,train,8,13,3.0,0.2315382867530107
2016-11-01-08,2016-11-01,train,8,14,15.0,0.27757327880027266
2016-11-01-08,2016-11-01,train,8,15,3.0,0.2449443308339014
2016-11-01-08,2016-11-01,train,8,16,10.0,0.2929107021131561
2016-11-01-08,2016-11-01,train,8,17,1.0,0.45603271983640087
2016-11-01-08,2016-11-01,train,8,18,4.0,0.21557600545330607
2016-11-01-08,2016-11-01,train,8,19,22.0,0.6044803866889756
2016-11-01-08,2016-11-01,train,8,20,5.0,0.3435582822085889
2016-11-01-08,2016-11-01,train,8,21,1.0,0.12269938650306748
2016-11-01-08,2016-11-01,train,8,22,3.0,0.3040218132242672
2016-11-01-08,2016-11-01,train,8,23,10.0,0.38602590320381736
2016-11-01-08,2016-11-01,train,8,24,3.0,0.26289479663712795
2016-11-01-08,2016-11-01,train,8,25,13.0,0.6870641287819202
2016-11-01-08,2016-11-01,train,8,26,5.0,0.289025221540559
2016-11-01-08,2016-11-01,train,8,27,14.0,0.3420488849936703
2016-11-01-08,2016-11-01,train,8,28,30.0,0.4966598500340832
2016-11-01-08,2016-11-01,train,8,29,16.0,0.5300357873210634
2016-11-01-09,2016-11-01,train,9,0,17.0,0.23256746461365732
2016-11-01-09,2016-11-01,train,9,1,50.0,0.2463803680981595
2016-11-01-09,2016-11-01,train,9,2,8.0,0.29226312201772325
2016-11-01-09,2016-11-01,train,9,3,4.0,0.2951601908657123
2016-11-01-09,2016-11-01,train,9,4,3.0,0.169052488070893
2016-11-01-09,2016-11-01,train,9,5,8.0,0.17075664621676892
2016-11-01-09,2016-11-01,train,9,6,4.0,0.5988411724608044
2016-11-01-09,2016-11-01,train,9,7,5.0,0.4550783912747103
2016-11-01-09,2016-11-01,train,9,8,3.0,0.1656441717791411
2016-11-01-09,2016-11-01,train,9,9,2.0,0.3220858895705521
2016-11-01-09,2016-11-01,train,9,10,1.0,0.23449216087252897
2016-11-01-09,2016-11-01,train,9,11,6.0,0.28107248352647124
2016-11-01-09,2016-11-01,train,9,12,0.0,0.0
2016-11-01-09,2016-11-01,train,9,13,6.0,0.2742558509429675
2016-11-01-09,2016-11-01,train,9,14,10.0,0.2170415814587594
2016-11-01-09,2016-11-01,train,9,15,16.0,0.3069188820722563
2016-11-01-09,2016-11-01,train,9,16,9.0,0.28122396425054913
2016-11-01-09,2016-11-01,train,9,17,3.0,0.27016587139286524
2016-11-01-09,2016-11-01,train,9,18,1.0,0.5432856169052488
2016-11-01-09,2016-11-01,train,9,19,25.0,0.5415950920245399
2016-11-01-09,2016-11-01,train,9,20,12.0,0.3917291524653488
2016-11-01-09,2016-11-01,train,9,21,0.0,0.0
2016-11-01-09,2016-11-01,train,9,22,1.0,0.17314246762099522
2016-11-01-09,2016-11-01,train,9,23,15.0,0.47875482844808
2016-11-01-09,2016-11-01,train,9,24,1.0,0.12406271301976823
2016-11-01-09,2016-11-01,train,9,25,12.0,0.43887752783458306
2016-11-01-09,2016-11-01,train,9,26,4.0,0.15950920245398773
2016-11-01-09,2016-11-01,train,9,27,13.0,0.41633894394630594
2016-11-01-09,2016-11-01,train,9,28,44.0,0.6831350312945405
2016-11-01-09,2016-11-01,train,9,29,17.0,0.46337062432334897
2016-11-01-10,2016-11-01,train,10,0,28.0,0.21611159801343852
2016-11-01-10,2016-11-01,train,10,1,33.0,0.26314267418561893
2016-11-01-10,2016-11-01,train,10,2,3.0,0.17700522608498068
2016-11-01-10,2016-11-01,train,10,3,9.0,0.2658486707566462
2016-11-01-10,2016-11-01,train,10,4,1.0,0.17586912065439672
2016-11-01-10,2016-11-01,train,10,5,28.0,0.24897750511247446
2016-11-01-10,2016-11-01,train,10,6,5.0,0.3314246762099523
2016-11-01-10,2016-11-01,train,10,7,2.0,0.2229038854805726
2016-11-01-10,2016-11-01,train,10,8,4.0,0.2989093387866394
2016-11-01-10,2016-11-01,train,10,9,3.0,0.2906157691433765
2016-11-01-10,2016-11-01,train,10,10,1.0,0.15405589638718473
2016-11-01-10,2016-11-01,train,10,11,1.0,0.25630538513974094
2016-11-01-10,2016-11-01,train,10,12,4.0,0.39280845262440356
2016-11-01-10,2016-11-01,train,10,13,8.0,0.1684560327198364
2016-11-01-10,2016-11-01,train,10,14,7.0,0.2689648456519622
2016-11-01-10,2016-11-01,train,10,15,5.0,0.18391274710293115
2016-11-01-10,2016-11-01,train,10,16,7.0,0.43441425650014603
2016-11-01-10,2016-11-01,train,10,17,2.0,0.29107021131561006
2016-11-01-10,2016-11-01,train,10,18,2.0,0.20313565098841174
2016-11-01-10,2016-11-01,train,10,19,12.0,0.3583844580777096
2016-11-01-10,2016-11-01,train,10,20,6.0,0.3762781186094069
2016-11-01-10,2016-11-01,train,10,21,2.0,0.39127471029311517
2016-11-01-10,2016-11-01,train,10,22,1.0,0.16087252897068846
2016-11-01-10,2016-11-01,train,10,23,11.0,0.4797050257172957
2016-11-01-10,2016-11-01,train,10,24,4.0,0.3561690524880709
2016-11-01-10,2016-11-01,train,10,25,14.0,0.45934365566267404
2016-11-01-10,2016-11-01,train,10,26,4.0,0.5420927062031357
2016-11-01-10,2016-11-01,train,10,27,25.0,0.48823449216087256
2016-11-01-10,2016-11-01,train,10,28,50.0,0.7255896387184732
2016-11-01-10,2016-11-01,train,10,29,18.0,0.5219268348102704
2016-11-01-11,2016-11-01,train,11,0,17.0,0.29459882112354147
2016-11-01-11,2016-11-01,train,11,1,38.0,0.3691565314103254
2016-11-01-11,2016-11-01,train,11,2,7.0,0.21521082870776123
2016-11-01-11,2016-11-01,train,11,3,4.0,0.23977505112474437
2016-11-01-11,2016-11-01,train,11,4,2.0,0.4584185412406271
2016-11-01-11,2016-11-01,train,11,5,18.0,0.27190789971976065
2016-11-01-11,2016-11-01,train,11,6,2.0,0.28902522154055893
2016-11-01-11,2016-11-01,train,11,7,8.0,0.2310838445807771
2016-11-01-11,2016-11-01,train,11,8,1.0,0.6325835037491478
2016-11-01-11,2016-11-01,train,11,9,1.0,0.11792774369461485
2016-11-01-11,2016-11-01,train,11,10,1.0,0.36877982276755283
2016-11-01-11,2016-11-01,train,11,11,6.0,0.31333787775505567
2016-11-01-11,2016-11-01,train,11,12,8.0,0.26226993865030673
2016-11-01-11,2016-11-01,train,11,13,2.0,0.16257668711656442
2016-11-01-11,2016-11-01,train,11,14,13.0,0.28677048922447695
2016-11-01-11,2016-11-01,train,11,15,4.0,0.4711997273346966
2016-11-01-11,2016-11-01,train,11,16,6.0,0.33310611224721653
2016-11-01-11,2016-11-01,train,11,17,5.0,0.24839809134287663
2016-11-01-11,2016-11-01,train,11,18,1.0,0.40490797546012275
2016-11-01-11,2016-11-01,train,11,19,13.0,0.46426511457186304
2016-11-01-11,2016-11-01,train,11,20,11.0,0.3867509450331536
2016-11-01-11,2016-11-01,train,11,21,3.0,0.3894569416041809
2016-11-01-11,2016-11-01,train,11,22,0.0,0.0
2016-11-01-11,2016-11-01,train,11,23,15.0,0.38104976141785957
2016-11-01-11,2016-11-01,train,11,24,0.0,0.0
2016-11-01-11,2016-11-01,train,11,25,8.0,0.5580265848670757
2016-11-01-11,2016-11-01,train,11,26,10.0,0.3359236537150648
2016-11-01-11,2016-11-01,train,11,27,27.0,0.5375545961776363
2016-11-01-11,2016-11-01,train,11,28,48.0,0.7131759827311974
2016-11-01-11,2016-11-01,train,11,29,21.0,0.4732366020709579
2016-11-01-12,2016-11-01,train,12,0,13.0,0.23417754706098265
2016-11-01-12,2016-11-01,train,12,1,29.0,0.33902169569611923
2016-11-01-12,2016-11-01,train,12,2,9.0,0.19010830871771567
2016-11-01-12,2016-11-01,train,12,3,8.0,0.26499659168370826
2016-11-01-12,2016-11-01,train,12,4,5.0,0.28070892978868434
2016-11-01-12,2016-11-01,train,12,5,10.0,0.22556237218813907
2016-11-01-12,2016-11-01,train,12,6,2.0,0.3725289706884799
2016-11-01-12,2016-11-01,train,12,7,7.0,0.2735417275294576
2016-11-01-12,2016-11-01,train,12,8,4.0,0.18404907975460122
2016-11-01-12,2016-11-01,train,12,9,2.0,0.2556237218813906
2016-11-01-12,2016-11-01,train,12,10,2.0,0.4243353783231084
2016-11-01-12,2016-11-01,train,12,11,2.0,0.23449216087252897
2016-11-01-12,2016-11-01,train,12,12,5.0,0.28139059304703473
2016-11-01-12,2016-11-01,train,12,13,3.0,0.42535787321063395
2016-11-01-12,2016-11-01,train,12,14,4.0,0.30299931833674165
2016-11-01-12,2016-11-01,train,12,15,10.0,0.4484662576687116
2016-11-01-12,2016-11-01,train,12,16,18.0,0.3090585472998561
2016-11-01-12,2016-11-01,train,12,17,3.0,0.2553965007952738
2016-11-01-12,2016-11-01,train,12,18,1.0,0.12065439672801637
2016-11-01-12,2016-11-01,train,12,19,16.0,0.4579925017041581
2016-11-01-12,2016-11-01,train,12,20,19.0,0.30678434327126614
2016-11-01-12,2016-11-01,train,12,21,2.0,0.5303340149965916
2016-11-01-12,2016-11-01,train,12,22,1.0,0.11929107021131562
2016-11-01-12,2016-11-01,train,12,23,11.0,0.4223833426287414
2016-11-01-12,2016-11-01,train,12,24,0.0,0.0
2016-11-01-12,2016-11-01,train,12,25,9.0,0.3565098841172461
2016-11-01-12,2016-11-01,train,12,26,3.0,0.19995455578277666
2016-11-01-12,2016-11-01,train,12,27,33.0,0.42955113507260745
2016-11-01-12,2016-11-01,train,12,28,52.0,0.6064967752084317
2016-11-01-12,2016-11-01,train,12,29,17.0,0.4065920846866354
2016-11-01-13,2016-11-01,train,13,0,5.0,0.29175187457396046
2016-11-01-13,2016-11-01,train,13,1,31.0,0.28086725157772063
2016-11-01-13,2016-11-01,train,13,2,5.0,0.25576005453306067
2016-11-01-13,2016-11-01,train,13,3,5.0,0.2783912747102931
2016-11-01-13,2016-11-01,train,13,4,5.0,0.29352419904567145
2016-11-01-13,2016-11-01,train,13,5,4.0,0.17723244717109748
2016-11-01-13,2016-11-01,train,13,6,5.0,0.2458077709611452
2016-11-01-13,2016-11-01,train,13,7,4.0,0.3563394683026585
2016-11-01-13,2016-11-01,train,13,8,2.0,0.11860940695296524
